id,name,fullvax,winner
1,Alabama,0.35,Trump
2,Alaska,0.46,Trump
4,Arizona,0.46,Biden
5,Arkansas,0.38,Trump
6,California,0.54,Biden
8,Colorado,0.55,Biden
9,Connecticut,0.64,Biden
10,Delaware,0.54,Biden
11,District of Columbia,0.56,Biden
12,Florida,0.5,Trump
13,Georgia,0.39,Biden
15,Hawaii,0.54,Biden
16,Idaho,0.38,Trump
17,Illinois,0.49,Biden
18,Indiana,0.45,Trump
19,Iowa,0.5,Trump
20,Kansas,0.46,Trump
21,Kentucky,0.46,Trump
22,Louisiana,0.38,Trump
23,Maine,0.64,Biden
24,Maryland,0.6,Biden
25,Massachusetts,0.65,Biden
26,Michigan,0.49,Biden
27,Minnesota,0.54,Biden
28,Mississippi,0.36,Trump
29,Missouri,0.43,Trump
30,Montana,0.45,Trump
31,Nebraska,0.5,Trump
32,Nevada,0.46,Biden
33,New Hampshire,0.59,Biden
34,New Jersey,0.59,Biden
35,New Mexico,0.58,Biden
36,New York,0.58,Biden
37,North Carolina,0.45,Trump
38,North Dakota,0.41,Trump
39,Ohio,0.47,Trump
40,Oklahoma,0.41,Trump
41,Oregon,0.57,Biden
42,Pennsylvania,0.53,Biden
44,Rhode Island,0.62,Biden
45,South Carolina,0.41,Trump
46,South Dakota,0.48,Trump
47,Tennessee,0.4,Trump
48,Texas,0.45,Trump
49,Utah,0.46,Trump
50,Vermont,0.67,Biden
51,Virginia,0.55,Biden
53,Washington,0.59,Biden
54,West Virginia,0.39,Trump
55,Wisconsin,0.52,Biden
56,Wyoming,0.37,Trump
72,Puerto Rico,0.5,Biden
